Tweet,Suicide,Contains_Special_Characters,Length,Stopword_Proportion
i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,Potential Suicide post,False,128,0.5625
Brushin' mah teef. Secularly.,Not Suicide post,True,4,0.0
i'll be in london today. Wave if you see me,Not Suicide post,True,10,0.5
 I am looking for the berocca then all will be well,Not Suicide post,False,11,0.7272727272727273
 Thank you I thought it was. Pass it around. Have a great day Luv ur stuff,Not Suicide post,True,16,0.375
i wanna die. i donât deserve a piece of anything. i donât belong anywhere. iâm sick and tired of everything. the saâ¦ https://t.co/8hbfNffXii,Potential Suicide post,True,23,0.34782608695652173
I fucking hate my whole family all they do is making me feel fat and I'm so done with feeling bad about my body andâ¦ https://t.co/eXWykCGcrf,Potential Suicide post,True,26,0.46153846153846156
 I luv your blog too! Fashion is &lt;3,Not Suicide post,True,8,0.375
 Sorry for your loss. This post gave me goosebumps because although I havenât thought of suicide your dâ¦ https://t.co/VNpWHS2zqu,Potential Suicide post,True,19,0.42105263157894735
" Ha ha I started something with the Rocquestar thing, didn't I??",Not Suicide post,True,11,0.36363636363636365
"photoboth is black and white. and wayyyyy old. we call him Herbert lol. I love him, he's like a living legend. gotta love Berlin &lt;3",Not Suicide post,True,25,0.28
 The one we were looking out for?,Not Suicide post,True,7,0.5714285714285714
he want to kill her.,Not Suicide post,True,5,0.4
u - understand what the fuck im doing wrong with my life,Potential Suicide post,True,12,0.4166666666666667
" AWWWWWW, i really wish i could be there to give ya some serious TLC Rachel hun....sending ya huge HUGZ AND KISSES",Not Suicide post,True,21,0.3333333333333333
Looking for help on testing Prawn PDFs with Cucumber. All i can find is Prawn and Cucumber salad recipes! http://tinyurl.com/cnnn6z,Not Suicide post,True,20,0.4
 he should tell them that his sister fixed it,Not Suicide post,False,9,0.6666666666666666
"Something weird in that I couldn't stop thinking about him, couldn't sleep. Then out of some old papers a card I diâ¦ https://t.co/eITpOD1uAT",Potential Suicide post,True,23,0.5217391304347826
"Congratulations, John! I'm a creepy actor, not a sweet actor",Not Suicide post,True,10,0.3
 He he! Thanks,Not Suicide post,True,3,0.3333333333333333
in the photoshop,Not Suicide post,False,3,0.6666666666666666
 normal workday for me. I do still have plans/aspirations to submit some info for the miz mag - honest i do.,Not Suicide post,True,21,0.42857142857142855
 Easy way is to go to MBK and get it hacked.  got a CN rom on his TH phone...,Not Suicide post,True,19,0.42105263157894735
",,And I just dont want to fucking be here anymore. Please someone just fucking end me because I know itll be worse for everyone if I do it myself and fuck do I want to but please please someone just kill me please",Potential Suicide post,True,43,0.5348837209302325
"i'm tired,",Not Suicide post,True,2,0.0
My Cullen family jewellery set arrived this morning! So happy!,Not Suicide post,True,10,0.3
Getting ready to take kids to the farm,Not Suicide post,False,8,0.375
" These boys might find it shocking that some internet stranger like myself would say ""fuck these guys""â¦ https://t.co/VNWeNO1cmv",Potential Suicide post,True,18,0.3333333333333333
 I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,Not Suicide post,True,22,0.5
I damn near hate smoking by myself but sometimes I like it cause I canât finish blunts and I be having some for later.,Potential Suicide post,True,24,0.5416666666666666
is going to get some cereallllllll will be living off Lucky Charms next week! WOOPWOOP!,Not Suicide post,True,15,0.4
"&quot;tagged as: punk, punk rock, pop punk, new york, more people should listen to this band &quot; http://www.last.fm/music/Get+Bent",Not Suicide post,True,18,0.2222222222222222
 It's a great time in life! We can help you design an amazing wedding.,Not Suicide post,True,14,0.5
 Wow! Wow! Good to hear,Not Suicide post,True,5,0.2
feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i dont want to die but when i get hurt lonely or overwhelmed the one thought i cant shake is killing myself ,Potential Suicide post,False,115,0.5565217391304348
Asking everyone to send out happy 'head-first' vibes to ,Not Suicide post,True,9,0.3333333333333333
 And waiting for sunrise in spring with an amazing colors,Not Suicide post,False,10,0.5
" Good so far thanks, hope yours will treat you well too",Not Suicide post,True,11,0.45454545454545453
 ok then might not be for a while though?,Not Suicide post,True,9,0.6666666666666666
"Itâs only the 12th and I have completed 75% of my selling goal, IâM HAPPY ð",Not Suicide post,True,16,0.4375
" but still,i highkey want him to be dead. He f killed peach and beck ugh.Candice is back so imma justâ¦ https://t.co/5pBYOKbtRc",Potential Suicide post,True,21,0.38095238095238093
 http://twitpic.com/2tu6p - take care guys..!!,Not Suicide post,True,5,0.0
My whole family is so damn beautiful and Iâm the start of the ugly generation of it and I just hate myself so much I canât even express it,Potential Suicide post,True,29,0.5517241379310345
"My co-workers are my guinea pigs. Lucky for them, I'm testing recipes from my Ultimate Cookie cook book.",Not Suicide post,True,18,0.3333333333333333
"Damn, i hate myself ",Potential Suicide post,True,4,0.5
 No I want him to get indicted &amp; watch the kids go to jail - I donât want him to die because the Trumpâ¦ https://t.co/BPMdXzujoo,Potential Suicide post,True,25,0.44
ok legit question can I fucking kill myself I'm 100% done with life,Potential Suicide post,True,13,0.3076923076923077
 How's the ski jumping going? Have you beat the missus yet?,Not Suicide post,True,11,0.36363636363636365
 I Hope I Fucken Change Cause Damn Do I Hate Myself!!!!!!!!,Potential Suicide post,True,11,0.36363636363636365
Really good and helpful about the various Crisis in the DC Universe - I have read them all http://crisis2crisis.com/,Not Suicide post,True,19,0.47368421052631576
 Nothing to live for? Why? Because you have been nasty?,Potential Suicide post,True,10,0.5
had a lovely night with the best boyfriend and two very good friends,Not Suicide post,False,13,0.46153846153846156
my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally ,Potential Suicide post,False,136,0.5147058823529411
 you dont have to bring anything - it's yr place #katesparty,Not Suicide post,True,11,0.36363636363636365
Rosie: âdoes he think Iâm gonna be single forever?â,Potential Suicide post,True,9,0.2222222222222222
 Chick-Fil-A = bonus.,Not Suicide post,True,3,0.0
 yeah 16kg is around 40lbs Glad you liked the interview I did with Steve Cotter; Quigong is sucha valuable part of any training,Not Suicide post,True,23,0.391304347826087
 What do you want to know about MODx cms? Maybe I can help you,Not Suicide post,True,14,0.5714285714285714
"i'm home from school, yay! wasn't that bad actually, and i had a nice dinner with graceeeeee.",Not Suicide post,True,17,0.47058823529411764
"im hoping my stress level will go down when my aunt is gone... i cant relax, am exhausted, and can't focus on a damâ¦ https://t.co/7eRvPZ4rpS",Potential Suicide post,True,25,0.44
 a friend i knew online from last night finally added me up on his messenger.,Not Suicide post,True,15,0.4666666666666667
I jst sneezed twice. Me thinks there's at least one ghost in my house now.,Not Suicide post,True,15,0.3333333333333333
 Thanks Wani,Not Suicide post,False,2,0.0
 Haha Get all your Stress out x,Not Suicide post,False,7,0.42857142857142855
 just added a little more grist to the mill,Not Suicide post,False,9,0.5555555555555556
"  You want every vote counted no matter if the voter is dead, move to a different precinct, ouâ¦ https://t.co/nC8PdOqUvU",Potential Suicide post,True,19,0.3684210526315789
 our barefoot range is a great alternative when you need to wear shoes. they allow you foot move as though it were barefoot,Not Suicide post,True,23,0.4782608695652174
there are no perks of being this ugly i deserve an award or something at least if iâm gonna die alone,Potential Suicide post,True,21,0.5238095238095238
RT : Random commenter asked why I had such an extreme social warrior agenda in Magnus Chase. What he calls extreme social jusâ¦,Potential Suicide post,True,23,0.34782608695652173
It's Tuesday...at work...still riding the high from the workout last night. It should be a good day!,Not Suicide post,True,17,0.47058823529411764
So sad that I can't protect these cats and I don't know whats ever bothering them. I don't know why this stuff hasâ¦ https://t.co/SDrCTy43V3,Potential Suicide post,True,24,0.4583333333333333
Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,Potential Suicide post,True,19,0.47368421052631576
Cool http://www.onlinemarktplatz.de/14177/twitter-fieber-bei-ebay/ ;_),Not Suicide post,True,3,0.0
ok that dinner rocked,Not Suicide post,False,4,0.25
stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,Potential Suicide post,False,29,0.4827586206896552
Damn .. I hate when I type so fast and the autocorrect changes go unnoticed ..smh at myself ð¤¦ð½ââï¸,Potential Suicide post,True,19,0.42105263157894735
RT : //shes doing her best https://t.co/tARP6gNDlu,Not Suicide post,True,7,0.2857142857142857
  live your best life,Not Suicide post,False,4,0.25
All I want is the truth.,Not Suicide post,True,6,0.6666666666666666
 We are not fussy about age here as long as females are between 18-25 . I changed the rules. lol,Not Suicide post,True,20,0.55
Iâm just gonna go ahead and kill myself. Already done for the fucking day.,Potential Suicide post,True,14,0.2857142857142857
i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in short i can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha ,Potential Suicide post,False,141,0.5531914893617021
" tania, i think you should get athene and the rest of the crew on twitter",Not Suicide post,True,15,0.5333333333333333
 n i got yr pic posing in the server room ..,Not Suicide post,True,11,0.2727272727272727
Bye bye!! Going to sleep!! (finally!!) XDDDD :-D :-P,Not Suicide post,True,9,0.1111111111111111
Working on a film. Have been busy. Have a nice day everyone,Not Suicide post,True,12,0.5
i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,Potential Suicide post,False,28,0.5357142857142857
I want to play with it.,Not Suicide post,True,6,0.5
Thanks to everyone who's sent me work this year... You'll pleased to know I've just planted 85 trees in India with some of the profits x,Not Suicide post,True,26,0.4230769230769231
this is my notice of me giving up on life n becoming an alcoholic bc i'm miserable n want to die farewell ill be drunk,Potential Suicide post,True,25,0.4
New iPhone is completely updated Sun shining in Derry - tis a pretty day,Not Suicide post,True,14,0.21428571428571427
I want to be a doctor.,Not Suicide post,True,6,0.6666666666666666
" Cash in the Attic is OK, I prefer Homes Under the Hammer, haha I do love being off school...",Not Suicide post,True,19,0.5263157894736842
Ill ride for my dawgs any day but at the end of the day. I already know where the streets can take you &amp; I what hapâ¦ https://t.co/Pqys3uWHkj,Potential Suicide post,True,28,0.5357142857142857
i want her,Not Suicide post,False,3,0.6666666666666666
" Well compared to other areas west of us, I'll take our 50 degrees and run with it",Not Suicide post,True,17,0.4117647058823529
" aw, I am so jealous! ) please, take me with you",Not Suicide post,True,11,0.5454545454545454
",Blaine, MN,I dont want to be here anymore.",Potential Suicide post,True,8,0.375
"Scared of death, tired of living.",Potential Suicide post,True,6,0.3333333333333333
   Take it all back was so fun https://t.co/iewkzKosB8,Not Suicide post,True,8,0.5
Ive had enough of life and the pain it causes,Potential Suicide post,False,10,0.5
Omg the cringe I cant,Potential Suicide post,False,5,0.4
 i love your shh tattoo - did it hurt? i think i'm gonna get it,Not Suicide post,True,15,0.4
",,RT : i literally cant explain everything so much has happened i dont wanna be here anymore. wtf is even the point. i literallyâ¦",Potential Suicide post,True,24,0.375
i want him,Not Suicide post,False,3,0.6666666666666666
had a juice box this morning. You never know the joy a juice box can bring until you have one later on in life.,Not Suicide post,True,24,0.5
She didn't want him to go out with other women,Not Suicide post,True,10,0.7
 you're welcome! It was a great way to be introduced to your music,Not Suicide post,True,13,0.6153846153846154
 awesome!! Can't wait to see it!!,Not Suicide post,True,6,0.16666666666666666
My heart is so crushed.,Potential Suicide post,True,5,0.6
ooo apple store is down ... so close? Credit card ready,Not Suicide post,True,11,0.2727272727272727
youâve changed for the fucking worse. i cant believe that you could really go back on all ur hard work like that,Potential Suicide post,True,22,0.36363636363636365
"Not just because the House has NEVER had a Black woman in leadership, but becauseâ¦",Not Suicide post,True,15,0.6
 hey Golden is here with me and just wanted to say Hi and have a great morning,Not Suicide post,False,17,0.5882352941176471
Goooooood morning Twitter-World!,Not Suicide post,True,3,0.0
 a revolution in household detergent introducing #kidscleaning get one now while stocks last,Not Suicide post,True,13,0.3076923076923077
everything that youâve ever dreamed of,Potential Suicide post,True,6,0.3333333333333333
 congrats!!!!! Ill def go and support the TC Media takeover,Not Suicide post,True,10,0.2
Going to bed goodnightttttt!,Not Suicide post,True,4,0.25
Going to school and enjoying my last day as a 16 year old but too,Not Suicide post,False,15,0.4666666666666667
 Hmmm...not good...carrot juice and marmalade on toast may help?,Not Suicide post,True,9,0.2222222222222222
Im tired and sick of everything I wanna die ... https://t.co/w04RQCbvNV,Potential Suicide post,True,11,0.2727272727272727
RT : âNo one has had more of an impact on my career and everything we do at Marvel Studios than Stan Lee. Stan leaves an extrâ¦,Not Suicide post,True,27,0.48148148148148145
"9 months ago my grandmother passed away, 8 months ago I got my heart completely broken, 7 months ago I almost attemâ¦ https://t.co/ooZMFRvuD1",Potential Suicide post,True,23,0.17391304347826086
 Really tired of everything. It's all just so lame and gay. Nothing serious us ever going to happen anâ¦ https://t.co/swSugXE6ua,Potential Suicide post,True,20,0.35
trying to figure out how this works!,Not Suicide post,True,7,0.5714285714285714
My life is miserable,Potential Suicide post,False,4,0.5
Positive Mental Attitude - Today can't be as bad as yesterday.,Not Suicide post,True,11,0.2727272727272727
good morning all,Not Suicide post,False,3,0.3333333333333333
YaY!! Just found out Amy is having a Girl!! LiL Bonita!! Im so excited..now I can go by little girly things for the babes,Not Suicide post,True,24,0.4583333333333333
I am constantly amazed by our technology. It makes me wonder. Now check out this rad song! &quot;Tripping&quot; ? http://twt.fm/33023,Not Suicide post,True,20,0.45
Damn I fucking HATE myself,Potential Suicide post,False,5,0.4
snuggling in bed with my little baby....ahhhh!,Not Suicide post,True,7,0.42857142857142855
mhm up. ohh early for me!- &amp; i feel like whatching Open arms again [by gary go],Not Suicide post,True,17,0.17647058823529413
  isn't the best Twitter client for me. It's the simplicity and all-in-1 that makes me love it,Not Suicide post,True,17,0.5294117647058824
" AHHHH yeah i was, but their updates were boring me so &quot;unfollowed&quot; them. you'll have to win and take me on holiday",Not Suicide post,True,22,0.5454545454545454
" Could be - mine grew out, down my back and then all fell off",Not Suicide post,True,14,0.5
RT :   what a fun day ! https://t.co/jr18uTkFX4,Not Suicide post,True,8,0.25
" Vou ler! ATD foi uma maratona.. Let's just say I'm glad it's over, lol.",Not Suicide post,True,14,0.14285714285714285
"laughter is indeed the best medicine! whatever ur situation today,find a reason 2 smile wholeheartedly! God is good,faithful&amp;loves u &lt;3",Not Suicide post,True,20,0.2
" They want people like me dead. They don't want to help me. If I was in Canada, Israel or Germany I woâ¦ https://t.co/UEfZi9HniT",Potential Suicide post,True,23,0.4782608695652174
enjoyed the N-Dubz gig last night - and it finished early which is always a bonus,Not Suicide post,True,16,0.375
i think its tonight because i dont care and i have nothing left i dont care i had something so great so promising and they stripped it down past the bone into splinters then pissed on the splinters i dont want happiness i dont want dreams i dont care that if i post a note everyone will desperately try to stop me i know they ll care when i am about to die or dead i am numb i am no longer scared and the hurt is too much i gotta go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end ,Potential Suicide post,False,119,0.5630252100840336
RT : Never get too attach cause  people wake up with  different feelings everyday.,Potential Suicide post,True,14,0.21428571428571427
do you ever feel empty and you had to pick a number from 15 depending how you feel about it i could write my funeral speech now but what is the point in afew years i would be forgotten anyway ,Potential Suicide post,False,40,0.55
 They don't do them in my size How r u?,Not Suicide post,True,10,0.7
"It snowed! Okay, there's not enough to build Frosty, but it snowed. As long as it's cold, it might as well snow...Enjoy your day",Not Suicide post,True,24,0.4583333333333333
"YALL im sad cause I keep seeing tweets about invisible and the fact that it was a suicide note, and like I alreadyâ¦ https://t.co/FTr8WA8GLz",Potential Suicide post,True,24,0.4166666666666667
RT : i hate feeling the way i do,Potential Suicide post,True,9,0.4444444444444444
glad to see spring making a comeback in Denver today!,Not Suicide post,True,10,0.3
 hello!! g'mrng!! wuzup?!? hows twitterville while i was sleeping? evrythings cool?,Not Suicide post,True,11,0.2727272727272727
" nah, I think going sideways is best, really helps when dodging bullets",Not Suicide post,True,12,0.25
Iâm so done with today like I just want to fucking kill myself,Potential Suicide post,True,13,0.46153846153846156
 If you have any questions feel free to email us at sales.co.uk or send a DM on Twitter,Not Suicide post,True,18,0.5
"Itâs been nearly three years, but I still feel that Kylo/Ben Solo doesnât deserve redemption. The man killed his owâ¦ https://t.co/a69qtrMkh7",Potential Suicide post,True,21,0.2857142857142857
"All right so that's 200 for slytherin, 590 for hufflepuff and 520 for ravenclaw. Sadly I'll have to cut these sprinâ¦ https://t.co/jjn5aEzAtu",Potential Suicide post,True,22,0.4090909090909091
ba't ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako? damn! hate myself. It's just me. ð¤¦,Potential Suicide post,True,20,0.15
 Hey there! Sent you a DM.,Not Suicide post,True,6,0.3333333333333333
 You make the milk look REALLY good in your pictures,Not Suicide post,False,10,0.4
 http://twitpic.com/2y3i4 - Totally love this pic! Are you singing it in Finnish?,Not Suicide post,True,12,0.4166666666666667
" Ooh, that's lovely",Not Suicide post,True,3,0.0
", you will fully bloom after all the hardships. i love u ):",Not Suicide post,True,13,0.46153846153846156
" Aw I'm so sorry, try not to let it get to you too much, they obviously didn't deserve you in the first pâ¦ https://t.co/F3aDF3M6U0",Potential Suicide post,True,24,0.5
Showcase Quick @ VIP romm on Thursday,Not Suicide post,True,7,0.14285714285714285
 is that me? tony price is on here too as is fab,Not Suicide post,True,12,0.6666666666666666
Hey Mariedees! Welcome to our Twitter feed! G'mornin' to ya!,Not Suicide post,True,10,0.3
 wow that was an experience you don't need to see repeated again glad he is ok.,Not Suicide post,True,16,0.5625
embedding a google calendar into a site is actually seriously easy,Not Suicide post,False,11,0.36363636363636365
I die a little inside when I see an old person eating alone at a restaurant.,Potential Suicide post,True,16,0.4375
I hate repeating myself dawg. like damn.,Potential Suicide post,True,7,0.2857142857142857
running out of option it physically hurts to breathe i have no dream or goal or ambition or motivation i am tried of it all i have been to hospital er psyche ward therapist difference medications my girlfriend the only person i really loved who wasnt family wants to just go do drugs and drink or whatever the fuck leaving me here with nothing so i cant at least just talk to her any more about how i feel it hurts it hurts so much so much pain and why i dont know why was i born to suffer like this if god is real he wants me dead and i do too,Potential Suicide post,False,113,0.5663716814159292
1300 words...,Not Suicide post,True,2,0.0
",Barcelona, Spain,RT : Even though WE DONT WANT too, we know that we have too believe that youâre not here anymore and we know that we have to be stâ¦",Potential Suicide post,True,30,0.5333333333333333
 that is so cool...good to hear...thanks for sharing!,Not Suicide post,True,8,0.625
 debuted on this week's Billboard Social 50 at #33!,Not Suicide post,True,9,0.3333333333333333
 Let me hate myself god fucking damn it,Potential Suicide post,False,8,0.375
   it is going to be sunny and 11 Celcius Friday and sunny and 15 Saturday sweet,Not Suicide post,False,16,0.4375
 I second to that Ian - thank you,Not Suicide post,True,8,0.5
In reality social media donât care about a mans mental health or donât want to speak on it until heâs dead lets be real,Potential Suicide post,True,24,0.375
Not everything is gold.,Not Suicide post,True,4,0.5
Became as hot as the persistent days resting heavily on tired flowers,Potential Suicide post,False,12,0.3333333333333333
  We used to have one. But keeping a live wild animal in a cage surrounded by screaming drunkâ¦ https://t.co/swOCDlRqWC,Potential Suicide post,True,19,0.42105263157894735
IM SO TIRED OF EVERYTHING CAN I DIE,Potential Suicide post,False,8,0.5
still listening to some great music I got yesterday. amber pacific is awesome!!,Not Suicide post,True,13,0.3076923076923077
Going to day care! Get to see hannah! This should be a good day. I hope so anyway.,Not Suicide post,True,18,0.4444444444444444
 I almost feel bad for my next post. Almost.,Not Suicide post,True,9,0.3333333333333333
 Thanks. It's certainly better than it was midday yesterday. At one point I was walking around like Kryten from Red Dwarf.,Not Suicide post,True,21,0.38095238095238093
 welcome to the &quot;twittersphere&quot;! (i like your name for it it's fun but can get super addicting,Not Suicide post,True,17,0.47058823529411764
 How did you know?? I LOVE it!,Not Suicide post,True,7,0.5714285714285714
every day just brings me closer to death i am 21 years old working student i want to kill myself life is unbearable i have no skills not talents and i am absolutely boring person so i spend most of my free time alone i really want to find a girlfriend but i see no way how could i find one when i am useless like this i used to go away from sadness by listening to music but these days i am bored of music and just want to go to sleep and never wake up ,Potential Suicide post,False,97,0.5051546391752577
" can i have yours? clouds have come in, i fear i may be too late to enjoy the weather",Not Suicide post,True,19,0.5263157894736842
 That is great to hear!! Thanks Chip!,Not Suicide post,True,7,0.42857142857142855
RT : Completely devestated by the fires affecting my community. I am one of the lucky ones. My animals and LOVE OF MY LIFE madeâ¦,Not Suicide post,True,25,0.44
ah.... 90's pop was so good,Not Suicide post,True,6,0.3333333333333333
 I'm leaving the laptop at home. I'll put up with tweetie. I can get DMs on gmail. New friends can always send me their email addy,Not Suicide post,True,26,0.38461538461538464
/thank god for . Slept in and he took Ava to daycare.,Not Suicide post,True,12,0.4166666666666667
i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better,Potential Suicide post,False,137,0.5693430656934306
Amazing night and great day...I LOVE my Heels!!!,Not Suicide post,True,8,0.25
"Tired of living life with the fear of not being liked. So for now on, FUCK IT Iâm really livinâ now people!!!!!",Potential Suicide post,True,22,0.5
jami: probably drunk driver coming onto on-coming traffic,Potential Suicide post,True,8,0.0
RT : Me knowing damn well that I will hate myself for taking a 7:30 but doing it anyways https://t.co/FRhjVbgkUw,Potential Suicide post,True,20,0.5
"I'm out of all my fucking meds bc my family thought it was the best to do since I got sick, tired and slâ¦ https://t.co/6dpLNbb0sh",Potential Suicide post,True,25,0.48
RT : Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,Potential Suicide post,True,21,0.42857142857142855
 What's Twitter? OH!! This is Twitter. Yea... My poor little birdie! No! Here comes the FAIL WHALE!!,Not Suicide post,True,17,0.29411764705882354
"Im gonna fucking die, im tired of investing everything into a person and then have them throw it out. I am not madeâ¦ https://t.co/5hb6Kz74qb",Potential Suicide post,True,24,0.4583333333333333
YO sometimes Iâm just tired of living.,Potential Suicide post,True,7,0.2857142857142857
RT : Congratulations to  OL Anthony Vereen for being named GPAC Football First Team Offense 2018! #GoJimmiesâ¦,Not Suicide post,True,17,0.17647058823529413
Aspiring to be as happy as  in every aspect of life,Not Suicide post,False,11,0.5454545454545454
RT : I used to check the Forbes 30 Under 30 list every year to see if I could find a husband on it.,Potential Suicide post,True,24,0.375
 *que screamo voice* SO CUT MY WRIST AND BLACK MY EYES,Potential Suicide post,True,11,0.36363636363636365
 so i need to work on this project and people count on me but i do fucking nothing because i think it'sâ¦ https://t.co/3xuJT5Fp0X,Potential Suicide post,True,23,0.5652173913043478
